number;name;address;dept;cp;ville;latitude;longitude;wgs84
7008;07008 - SOLFERINO;10 RUE DE VILLERSEXEL - 75007 PARIS;75;75007;PARIS;48.85831864690376;2.323838437789417;48.8583186469, 2.32383843779
7102;07102 - SAINTE CLOTHILDE;FACE 19 RUE CASIMIR PERIER - 75007 PARIS;75;75007;PARIS;48.857829110709226;2.319149052579355;48.8578291107, 2.31914905258
8031;08031 - ROND POINT DES CHAMPS ELYSEES;2 RUE JEAN MERMOZ - 75008 PARIS;75;75008;PARIS;48.86970884795243;2.310714655374236;48.869708848, 2.31071465537
8055;08055 - TERNES COURCELLES;87 BD COURCELLES - 75008 PARIS;75;75008;PARIS;48.87818887641853;2.299296003861458;48.8781888764, 2.29929600386
8105;08105 - FRANCOIS 1ER LINCOLN;56 RUE FRANCOIS 1ER - 75008 PARIS;75;75008;PARIS;48.86951797934417;2.302426218841562;48.8695179793, 2.30242621884
8048;08048 - MARCEAU;45 AVENUE MARCEAU - 75008 PARIS;75;75008;PARIS;48.868851708234864;2.298514048803577;48.8688517082, 2.2985140488
8016;08016 - SQUARE LOUIS XVI;DEV 32 RUE PASQUIER - 75008 PARIS;75;75008;PARIS;48.87320440102894;2.323658830743138;48.873204401, 2.32365883074
8012;08012 - CLICHY;10 BOULEVARD DES BATIGNOLLES SUR TPC - 75008 PARIS;75;75008;PARIS;48.883318044354574;2.326207175385489;48.8833180444, 2.32620717539
8001;08001 - PETIT PALAIS;AV. DUTUIT - 75008 PARIS;75;75008;PARIS;48.866843803252216;2.315779713410026;48.8668438033, 2.31577971341
8015;08015 - ROQUEPINE;4 RUE ROQUEPINE - 75008 PARIS;75;75008;PARIS;48.873486169349846;2.320281234210629;48.8734861693, 2.32028123421
8017;08017 - ROCHER;14 RUE ROCHER - 75008 PARIS;75;75008;PARIS;48.876079329226044;2.322731562049324;48.8760793292, 2.32273156205
8036;08036 - RIO;39 RUE DE LISBONNE - 75008 PARIS;75;75008;PARIS;48.87745567681383;2.309694221419506;48.8774556768, 2.30969422142
8038;08038 - FRANCOIS 1 ER;22 RUE FRANCOIS 1ER - 75008 PARIS;75;75008;PARIS;48.866887649978096;2.306675575720671;48.86688765, 2.30667557572
8053;08053 - FRIEDLAND;PLACE GEORGES GUILLAUMIN - 75008 PARIS;75;75008;PARIS;48.874750203956566;2.301771435325988;48.874750204, 2.30177143533
8027;08027 - MAIRIE DU 8 ÈME;28 RUE DE MADRID - 75008 PARIS;75;75008;PARIS;48.87798402750352;2.318404862782852;48.8779840275, 2.31840486278
8032;08032 - MATIGNON;27 AVENUE MATIGNON - 75008 PARIS;75;75008;PARIS;48.871476421300954;2.313885419949291;48.8714764213, 2.31388541995
8045;08045 - ALMA;FACE 3 AVENUE MONTAIGNE - 75008 PARIS;75;75008;PARIS;48.86492098253841;2.302549182385926;48.8649209825, 2.30254918239
8115;08115 - BASSANO;10 RUE VERNET - 75008 PARIS;75;75008;PARIS;48.87134532710352;2.300186572268202;48.8713453271, 2.30018657227
9005;09005 - SQUARE D'ANVERS;95 RUE DE DUNKERQUE - 75009 PARIS;75;75009;PARIS;48.882633484310816;2.344884406212207;48.8826334843, 2.34488440621
9004;09004 - ROCHECHOUART GERANDO;19 RUE GUERANDO - 75009 PARIS;75;75009;PARIS;48.88291108953936;2.346319371627125;48.8829110895, 2.34631937163
9009;09009 - SQUARE MONTHOLON;26 RUE MONTHOLON - 75009 PARIS;75;75009;PARIS;48.87660117136262;2.345785516803243;48.8766011714, 2.3457855168
9003;09003 - PLACE BARBÈS;PLACE BARBES - 75009 PARIS;75;75009;PARIS;48.8836531972476;2.349040855034395;48.8836531972, 2.34904085503
9028;09028 - MONCEY BLANCHE;4 RUE MONCEY - 75009 PARIS;75;75009;PARIS;48.88015398585977;2.33107516002003;48.8801539859, 2.33107516002
9024;09024 - LAFAYETTE TAITBOUT;27 RUE TAITBOUT - 75009 PARIS;75;75009;PARIS;48.873385805429535;2.33529683976619;48.8733858054, 2.33529683977
9102;09102 - PLACE D'ESTIENNE D'ORVES;2 RUE DE LONDRES - 75009 PARIS;75;75009;PARIS;48.87673249893723;2.33048422584945;48.8767324989, 2.33048422585
9006;09006 - TRUDAINRE ROCHECHOUART;81 RUE DUNKERQUE - 75009 PARIS;75;75009;PARIS;48.88210763435887;2.346261998538882;48.8821076344, 2.34626199854
9032;09032 - MATHURINS;12 RUE DES MATHURINS - 75009 PARIS;75;75009;PARIS;48.872971251927126;2.329465611700831;48.8729712519, 2.3294656117
10014;10014 - BEAUREPAIRE;14 RUE DE MARSEILLE - 75010 PARIS;75;75010;PARIS;48.8716626619994;2.363933311380362;48.871662662, 2.36393331138
10114;10114 - HOPITAL SAINT LOUIS;12 BIS RUE DE LA GRANGE AUX BELLES - 75010 PARIS;75;75010;PARIS;48.874794994841274;2.366669436984963;48.8747949948, 2.36666943698
10031;10031 - AQUEDUC;48 RUE LOUIS BLANC - 75010 PARIS;75;75010;PARIS;48.88199720999019;2.363625214552995;48.88199721, 2.36362521455
10037;10037 - VERSION 2 JAURES;EGLISE SAINT JOSEPH ARTISAN - 75010 PARIS;75;75010;PARIS;48.88126816395289;2.368117527990073;48.881268164, 2.36811752799
10027;10027 - DUNKERQUE;4 RUE DE DUNKERQUE - 75010 PARIS;75;75010;PARIS;48.87935510317391;2.358379192454538;48.8793551032, 2.35837919245
10016;10016 - VILLEMIN;29 RUE DES RECOLLETS - 75010 PARIS;75;75010;PARIS;48.875034655883944;2.359801238597928;48.8750346559, 2.3598012386
